[2020-01-04 17:04:40,097] {/home/alta17/Desktop/Portofolio/blueprints/__init__.py:58} INFO REQUEST_LOG	{"status_code": 200, "method": "POST", "code": "200 OK", "url": "/payment/ongkir?", "request": {"kota_kabupaten": "Bandung"}, "response": {"rajaongkir": {"query": {"key": "c34f8ffa7ae33fa06c280cf1a0a01589", "origin": 255, "destination": 22, "weight": 2500, "courier": "jne"}, "status": {"code": 200, "description": "OK"}, "origin_details": {"city_id": "255", "province_id": "11", "province": "Jawa Timur", "type": "Kabupaten", "city_name": "Malang", "postal_code": "65163"}, "destination_details": {"city_id": "22", "province_id": "9", "province": "Jawa Barat", "type": "Kabupaten", "city_name": "Bandung", "postal_code": "40311"}, "results": [{"code": "jne", "name": "Jalur Nugraha Ekakurir (JNE)", "costs": [{"service": "OKE", "description": "Ongkos Kirim Ekonomis", "cost": [{"value": 51000, "etd": "2-3", "note": ""}]}, {"service": "REG", "description": "Layanan Reguler", "cost": [{"value": 60000, "etd": "1-2", "note": ""}]}, {"service": "YES", "description": "Yakin Esok Sampai", "cost": [{"value": 138000, "etd": "1-1", "note": ""}]}]}]}}}
[2020-01-04 17:04:59,325] {/home/alta17/Desktop/Portofolio/blueprints/__init__.py:58} INFO REQUEST_LOG	{"status_code": 200, "method": "POST", "code": "200 OK", "url": "/payment/ongkir?", "request": {"kota_kabupaten": "Bandung"}, "response": 60000}
[2020-01-04 17:05:13,099] {/home/alta17/Desktop/Portofolio/blueprints/__init__.py:58} INFO REQUEST_LOG	{"status_code": 200, "method": "POST", "code": "200 OK", "url": "/payment/ongkir?", "request": {"kota_kabupaten": "Bandung"}, "response": 60000}
[2020-01-04 17:05:32,420] {/home/alta17/Desktop/Portofolio/blueprints/__init__.py:58} INFO REQUEST_LOG	{"status_code": 200, "method": "POST", "code": "200 OK", "url": "/payment/ongkir?", "request": {"kota_kabupaten": "Depok"}, "response": 54000}
[2020-01-04 17:06:06,186] {/home/alta17/Desktop/Portofolio/blueprints/__init__.py:58} INFO REQUEST_LOG	{"status_code": 200, "method": "POST", "code": "200 OK", "url": "/payment/ongkir?", "request": {"kota_kabupaten": "Medan"}, "response": 135000}
[2020-01-04 17:49:27,333] {/home/alta17/Desktop/Portofolio/blueprints/__init__.py:58} INFO REQUEST_LOG	{"status_code": 200, "method": "POST", "code": "200 OK", "url": "/payment/ongkir?", "request": {"kota_kabupaten": "Medan"}, "response": 135000}
[2020-01-04 17:50:17,541] {/home/alta17/Desktop/Portofolio/blueprints/__init__.py:58} INFO REQUEST_LOG	{"status_code": 200, "method": "POST", "code": "200 OK", "url": "/payment/ongkir?", "request": {"kota_kabupaten": "Medan"}, "response": 135000}
[2020-01-04 17:50:30,766] {/home/alta17/Desktop/Portofolio/blueprints/__init__.py:58} INFO REQUEST_LOG	{"status_code": 200, "method": "POST", "code": "200 OK", "url": "/payment/ongkir?", "request": {"kota_kabupaten": "Depok"}, "response": 54000}
[2020-01-04 17:57:36,989] {/home/alta17/Desktop/Portofolio/blueprints/__init__.py:58} INFO REQUEST_LOG	{"status_code": 200, "method": "POST", "code": "200 OK", "url": "/payment/ongkir?", "request": {"kota_kabupaten": "Boyolali"}, "response": 57000}
[2020-01-04 18:00:40,040] {/home/alta17/Desktop/Portofolio/blueprints/__init__.py:67} ERROR REQUEST_LOG	{"status_code": 404, "method": "POST", "code": "404 NOT FOUND", "url": "/payment/ongkir?", "request": {"kota_kabupaten": "Depok"}, "response": {"message": "The requested URL was not found on the server. If you entered the URL manually please check your spelling and try again."}}
[2020-01-04 18:01:03,077] {/home/alta17/Desktop/Portofolio/blueprints/__init__.py:58} INFO REQUEST_LOG	{"status_code": 200, "method": "POST", "code": "200 OK", "url": "/shipping/ongkir?", "request": {"kota_kabupaten": "Depok"}, "response": 54000}
[2020-01-04 18:03:41,741] {/home/alta17/Desktop/Portofolio/blueprints/__init__.py:58} INFO REQUEST_LOG	{"status_code": 200, "method": "POST", "code": "200 OK", "url": "/payment/ongkir?", "request": {"kota_kabupaten": "Depok"}, "response": 54000}
[2020-01-04 18:11:50,905] {/home/alta17/Desktop/Portofolio/blueprints/__init__.py:67} ERROR REQUEST_LOG	{"status_code": 405, "method": "POST", "code": "405 METHOD NOT ALLOWED", "url": "/payment/totalbayar?", "request": {"kota_kabupaten": "Depok"}, "response": {"message": "The method is not allowed for the requested URL."}}
[2020-01-04 18:12:48,855] {/home/alta17/Desktop/Portofolio/blueprints/__init__.py:58} INFO REQUEST_LOG	{"status_code": 200, "method": "GET", "code": "200 OK", "url": "/payment/totalbayar?", "request": {"kota_kabupaten": "Depok"}, "response": 655000}
[2020-01-04 18:13:24,108] {/home/alta17/Desktop/Portofolio/blueprints/__init__.py:58} INFO REQUEST_LOG	{"status_code": 200, "method": "GET", "code": "200 OK", "url": "/payment/totalbayar?", "request": {"kota_kabupaten": "Depok"}, "response": 655000}
